round,test_accuracy,test_loss,sampled_clients,trainable_params,upload_mb,download_mb,cumulative_mb,trainable_param_ratio
1,0.08421052631578947,3.231290804712396,10,6427,0.24517059326171875,0.24517059326171875,0.4903411865234375,0.05229157004889876
2,0.09736842105263158,3.1685742102171246,10,6427,0.24517059326171875,0.24517059326171875,0.980682373046875,0.05229157004889876
3,0.09342105263157895,3.200883398557964,10,6427,0.24517059326171875,0.24517059326171875,1.4710235595703125,0.05229157004889876
4,0.10657894736842105,3.25632310666536,10,6427,0.24517059326171875,0.24517059326171875,1.96136474609375,0.05229157004889876
5,0.10263157894736842,3.2542953641791095,10,6427,0.24517059326171875,0.24517059326171875,2.4517059326171875,0.05229157004889876
6,0.10921052631578948,3.2069430451644094,10,6427,0.24517059326171875,0.24517059326171875,2.942047119140625,0.05229157004889876
7,0.10789473684210527,3.165510400972868,10,6427,0.24517059326171875,0.24517059326171875,3.4323883056640625,0.05229157004889876
8,0.0881578947368421,3.1590748335185803,10,6427,0.24517059326171875,0.24517059326171875,3.9227294921875,0.05229157004889876
9,0.08947368421052632,3.1682393475582726,10,6427,0.24517059326171875,0.24517059326171875,4.4130706787109375,0.05229157004889876
10,0.09210526315789473,3.1701518159163626,10,6427,0.24517059326171875,0.24517059326171875,4.903411865234375,0.05229157004889876
11,0.09210526315789473,3.1639749401494077,10,6427,0.24517059326171875,0.24517059326171875,5.3937530517578125,0.05229157004889876
12,0.08947368421052632,3.1603176970230904,10,6427,0.24517059326171875,0.24517059326171875,5.88409423828125,0.05229157004889876
13,0.09210526315789473,3.1647778410660594,10,6427,0.24517059326171875,0.24517059326171875,6.3744354248046875,0.05229157004889876
14,0.08947368421052632,3.16832309020193,10,6427,0.24517059326171875,0.24517059326171875,6.864776611328125,0.05229157004889876
15,0.0881578947368421,3.168974018096924,10,6427,0.24517059326171875,0.24517059326171875,7.3551177978515625,0.05229157004889876
