round,client_id,train_loss,train_accuracy,num_examples
1,1,0.6918934034235651,0.5083798882681564,179
1,0,0.002178027844903144,1.0,352
1,4,0.48555613714632334,0.8230563002680965,373
1,9,0.06606593335079665,0.9942196531791907,173
1,6,0.6980266733603044,0.4090909090909091,44
2,2,0.10992125297586124,1.0,90
2,1,0.6902729239543723,0.5195530726256983,179
2,8,0.7154982089996338,0.55,20
2,4,0.48573125751024915,0.8230563002680965,373
2,3,0.3505680503825305,0.8977035490605428,479
3,0,0.0009822216604582288,1.0,352
3,9,0.03690617915237527,0.9942196531791907,173
3,1,0.6917427082301518,0.5251396648044693,179
3,7,0.4025767914792325,0.9680851063829787,94
3,6,0.6945207606662404,0.4772727272727273,44
4,8,0.697555661201477,0.55,20
4,0,0.0005582027026155794,1.0,352
4,3,0.33684767138733995,0.8977035490605428,479
4,5,0.6677559325771947,0.6048387096774194,248
4,6,0.6962292031808333,0.5454545454545454,44
5,8,0.7069817781448364,0.55,20
5,6,0.7072549137202176,0.45454545454545453,44
5,3,0.32875013923844115,0.8977035490605428,479
5,7,0.4013748441604858,0.9680851063829787,94
5,4,0.4566988062123511,0.8230563002680965,373
6,4,0.4663129839596736,0.8230563002680965,373
6,0,0.0005190387984674254,1.0,352
6,2,0.06043618188963996,1.0,90
6,5,0.6722057269465539,0.6451612903225806,248
6,3,0.3234197932892403,0.8977035490605428,479
7,5,0.6653990495589471,0.6048387096774194,248
7,4,0.4577032680006513,0.8230563002680965,373
7,2,0.14773645550012587,1.0,90
7,1,0.6562040861092466,0.659217877094972,179
7,7,0.16159867352627694,0.9680851063829787,94
8,1,0.6510223313416849,0.7486033519553073,179
8,9,0.05010666597817588,0.9942196531791907,173
8,6,0.7201892083341425,0.38636363636363635,44
8,0,0.0014419013036372648,1.0,352
8,2,0.34833820164203644,1.0,90
9,5,0.6312579820233006,0.6290322580645161,248
9,4,0.41837026414538836,0.8284182305630027,373
9,0,0.0008305240956939418,1.0,352
9,9,0.037634257072410575,0.9942196531791907,173
9,3,0.31660679069839587,0.8977035490605428,479
10,8,0.6308216452598572,0.55,20
10,1,0.6030513068151208,0.7262569832402235,179
10,6,0.667196203361858,0.5454545454545454,44
10,0,0.0004756305067778819,1.0,352
10,4,0.4149520445125672,0.8230563002680965,373
11,4,0.4075217194275946,0.8257372654155496,373
11,5,0.6186234624155106,0.6895161290322581,248
11,3,0.307594831340746,0.8977035490605428,479
11,8,0.6039769649505615,0.6,20
11,0,0.0002658747226550159,1.0,352
12,0,0.0001820443073732101,1.0,352
12,3,0.3059615328565769,0.8977035490605428,479
12,4,0.41926888038901156,0.8284182305630027,373
12,9,0.03319662302931652,0.9942196531791907,173
12,1,0.6323467259966461,0.5921787709497207,179
13,1,0.6198288871589319,0.659217877094972,179
13,6,0.7241891947659579,0.5454545454545454,44
13,4,0.4201512686688523,0.8471849865951743,373
13,3,0.30120743702249386,0.8977035490605428,479
13,5,0.5821674504587727,0.6693548387096774,248
14,5,0.5469733111320003,0.7258064516129032,248
14,2,0.004150447652985652,1.0,90
14,9,0.03118189985492412,0.9942196531791907,173
14,8,0.6692761778831482,0.6,20
14,1,0.6174224165564809,0.664804469273743,179
15,4,0.3657235635030046,0.8605898123324397,373
15,1,0.5176548102048523,0.7486033519553073,179
15,2,0.00800256283643345,1.0,90
15,9,0.029896350344979457,0.9942196531791907,173
15,5,0.5356971977218505,0.7096774193548387,248
16,3,0.27522685769206545,0.8997912317327766,479
16,2,0.013144794147875574,1.0,90
16,7,0.10491950477057314,0.9893617021276596,94
16,9,0.02225928073325006,0.9942196531791907,173
16,8,0.47748714685440063,0.8,20
17,8,0.42694568634033203,0.85,20
17,3,0.259087237690834,0.9039665970772442,479
17,5,0.52627666342643,0.7056451612903226,248
17,6,0.5845659375190735,0.6590909090909091,44
17,0,0.00016154418964023617,1.0,352
18,3,0.2552768291909411,0.9144050104384134,479
18,0,0.00013719456249170682,1.0,352
18,5,0.4830496811097668,0.7903225806451613,248
18,9,0.027816501645589343,0.9942196531791907,173
18,2,0.015963453820182216,1.0,90
19,1,0.4283284308524105,0.8324022346368715,179
19,3,0.2634199834069031,0.906054279749478,479
19,5,0.4732171297073364,0.7459677419354839,248
19,9,0.030252065263941582,0.9942196531791907,173
19,7,0.07272892239245962,0.9787234042553191,94
20,7,0.05607205018044469,0.9787234042553191,94
20,6,0.5684638294306669,0.7045454545454546,44
20,9,0.024167578024089854,0.9942196531791907,173
20,1,0.3745101693622227,0.8212290502793296,179
20,2,0.002997407793170876,1.0,90
21,2,0.0009747065008721418,1.0,90
21,3,0.23654163636593828,0.9164926931106472,479
21,4,0.3301718195865365,0.8525469168900804,373
21,5,0.5062935813780753,0.7096774193548387,248
21,7,0.06283321175129807,0.9680851063829787,94
22,6,0.6170535331422632,0.7045454545454546,44
22,9,0.025971929568964235,0.9942196531791907,173
22,5,0.4364675696819059,0.7943548387096774,248
22,1,0.40132505084549247,0.8044692737430168,179
22,8,0.28886717557907104,0.95,20
23,8,0.24029044806957245,0.95,20
23,7,0.07878604429238971,0.9680851063829787,94
23,1,0.3632605683537169,0.8268156424581006,179
23,6,0.634588978507302,0.7045454545454546,44
23,0,2.542131700134963e-05,1.0,352
24,1,0.39067696592661255,0.8212290502793296,179
24,2,0.0004609239332947052,1.0,90
24,8,0.28733164072036743,0.8,20
24,6,0.6725827347148549,0.6363636363636364,44
24,5,0.4652865942447416,0.75,248
25,6,0.6032759113745256,0.7045454545454546,44
25,1,0.40821243897496656,0.8156424581005587,179
25,9,0.02649196758435641,0.9942196531791907,173
25,3,0.2290328346301718,0.9123173277661796,479
25,4,0.3621318146945964,0.8445040214477212,373
