round,test_accuracy,test_loss,sampled_clients,trainable_params,upload_mb,download_mb,cumulative_mb,trainable_param_ratio
1,0.5334645669291339,1.259366220376623,5,18308,0.3491973876953125,0.3491973876953125,0.698394775390625,0.019489118539998043
2,0.6456692913385826,1.1705843369791826,5,18308,0.3491973876953125,0.3491973876953125,1.39678955078125,0.019489118539998043
3,0.6889763779527559,1.0399521842716246,5,18308,0.3491973876953125,0.3491973876953125,2.095184326171875,0.019489118539998043
4,0.6988188976377953,0.8634104491688135,5,18308,0.3491973876953125,0.3491973876953125,2.7935791015625,0.019489118539998043
5,0.718503937007874,0.6726297374785416,5,18308,0.3491973876953125,0.3491973876953125,3.491973876953125,0.019489118539998043
6,0.8307086614173228,0.4085968033535274,5,18308,0.3491973876953125,0.3491973876953125,4.19036865234375,0.019489118539998043
7,0.9566929133858267,0.17948089358140165,5,18308,0.3491973876953125,0.3491973876953125,4.888763427734375,0.019489118539998043
8,0.9960629921259843,0.0481078050238645,5,18308,0.3491973876953125,0.3491973876953125,5.587158203125,0.019489118539998043
9,1.0,0.0154368992542892,5,18308,0.3491973876953125,0.3491973876953125,6.285552978515625,0.019489118539998043
10,0.9960629921259843,0.010434747739570347,5,18308,0.3491973876953125,0.3491973876953125,6.98394775390625,0.019489118539998043
11,0.9940944881889764,0.009205785777977132,5,18308,0.3491973876953125,0.3491973876953125,7.682342529296875,0.019489118539998043
12,0.9960629921259843,0.007244783387644085,5,18308,0.3491973876953125,0.3491973876953125,8.3807373046875,0.019489118539998043
13,0.9980314960629921,0.0037899219658313775,5,18308,0.3491973876953125,0.3491973876953125,9.079132080078125,0.019489118539998043
14,1.0,0.002010501099853065,5,18308,0.3491973876953125,0.3491973876953125,9.77752685546875,0.019489118539998043
15,1.0,0.0030066655347431737,5,18308,0.3491973876953125,0.3491973876953125,10.475921630859375,0.019489118539998043
