round,client_id,train_loss,train_accuracy,num_examples
1,1,0.7047110802634469,0.5418994413407822,179
1,0,3.502782523024838e-06,1.0,352
1,4,0.4774675747983897,0.8230563002680965,373
1,9,0.05213707173445041,0.9942196531791907,173
1,6,0.8150810220024802,0.5,44
2,2,4.119109233013458e-05,1.0,90
2,1,0.6733591333447888,0.6368715083798883,179
2,8,0.820708155632019,0.45,20
2,4,0.4738800425791549,0.8230563002680965,373
2,3,0.3326957034790939,0.8977035490605428,479
3,0,1.1633058689271407e-06,1.0,352
3,9,0.05114765033580772,0.9942196531791907,173
3,1,0.6672774160374476,0.5977653631284916,179
3,7,0.16677327834545297,0.9680851063829787,94
3,6,0.6814113421873613,0.5,44
4,8,0.7222979068756104,0.45,20
4,0,1.1379062140225538e-06,1.0,352
4,3,0.3324533482558543,0.8977035490605428,479
4,5,0.6791398236828465,0.6048387096774194,248
4,6,0.6700587435202165,0.5454545454545454,44
5,8,0.7161449193954468,0.45,20
5,6,0.6909787275574424,0.5,44
5,3,0.3227377578087291,0.8977035490605428,479
5,7,0.14574798979261455,0.9680851063829787,94
5,4,0.477074843629116,0.8230563002680965,373
6,4,0.41768205509428685,0.8230563002680965,373
6,0,2.0749844328416987e-06,1.0,352
6,2,0.0002414074710233965,1.0,90
6,5,0.6212908990921513,0.6451612903225806,248
6,3,0.3590158497241942,0.8977035490605428,479
7,5,0.6218534073522014,0.6411290322580645,248
7,4,0.4774808010371057,0.8284182305630027,373
7,2,0.0016955130643004344,1.0,90
7,1,0.559854946655934,0.7430167597765364,179
7,7,0.1395178938165624,0.9680851063829787,94
8,1,0.5862839158686846,0.7374301675977654,179
8,9,0.04937401712467326,0.9942196531791907,173
8,6,0.7423336993564259,0.5454545454545454,44
8,0,1.5377534840478223e-05,1.0,352
8,2,0.001976936803354571,1.0,90
9,5,0.6000059670017611,0.6814516129032258,248
9,4,0.38943296527095517,0.8445040214477212,373
9,0,3.622668641996411e-06,1.0,352
9,9,0.05168521417043444,0.9942196531791907,173
9,3,0.28128188363196704,0.9039665970772442,479
10,8,0.6255699396133423,0.65,20
10,1,0.5034976455086436,0.7486033519553073,179
10,6,0.8587868701327931,0.5,44
10,0,8.263368365326393e-07,1.0,352
10,4,0.3793887301041038,0.8471849865951743,373
11,4,0.413832684464493,0.8284182305630027,373
11,5,0.6526944271979793,0.6088709677419355,248
11,3,0.31964981201297304,0.8977035490605428,479
11,8,0.502915620803833,0.65,20
11,0,6.400725622251519e-08,1.0,352
12,0,0.0,1.0,352
12,3,0.3508045102833208,0.8977035490605428,479
12,4,0.3987539555208293,0.8605898123324397,373
12,9,0.035018353265403326,0.9942196531791907,173
12,1,0.6218525820604249,0.6033519553072626,179
13,1,0.5504801050244763,0.7039106145251397,179
13,6,0.7944962436502631,0.6590909090909091,44
13,4,0.386363200543713,0.8525469168900804,373
13,3,0.316329056260979,0.8977035490605428,479
13,5,0.608666068123233,0.6814516129032258,248
14,5,0.5975277106608113,0.6370967741935484,248
14,2,3.549787183803548e-07,1.0,90
14,9,0.024097782543542758,0.9942196531791907,173
14,8,0.9949949979782104,0.55,20
14,1,0.6575760734813839,0.5921787709497207,179
15,4,0.36895959370896897,0.8552278820375335,373
15,1,0.47936190806287626,0.7821229050279329,179
15,2,1.2411001661247508e-06,1.0,90
15,9,0.03443860148639564,0.9942196531791907,173
15,5,0.5610773986385714,0.7056451612903226,248
16,3,0.2863778544430444,0.906054279749478,479
16,2,4.694182603594123e-06,1.0,90
16,7,0.16524762434369705,0.9680851063829787,94
16,9,0.027655620424001548,0.9942196531791907,173
16,8,0.3780345916748047,0.95,20
17,8,0.5970994234085083,0.7,20
17,3,0.28575385077263465,0.906054279749478,479
17,5,0.5163454605687049,0.7217741935483871,248
17,6,0.5261369997804816,0.6818181818181818,44
17,0,3.887163447044176e-06,1.0,352
18,3,0.22804172657476834,0.9227557411273486,479
18,0,4.479481917356183e-06,1.0,352
18,5,0.5210877157026722,0.7137096774193549,248
18,9,0.05153477360424451,0.9942196531791907,173
18,2,0.00010704195366189298,1.0,90
19,1,0.36693760103353573,0.8212290502793296,179
19,3,0.24108011977035468,0.9164926931106472,479
19,5,0.5527248440250274,0.6935483870967742,248
19,9,0.04381189411613724,0.9942196531791907,173
19,7,0.1666581818556532,0.9680851063829787,94
20,7,0.123253855279627,0.9680851063829787,94
20,6,0.5341256287964907,0.7045454545454546,44
20,9,0.051863515977020984,0.9942196531791907,173
20,1,0.3425318075957911,0.8435754189944135,179
20,2,7.244408843689598e-05,1.0,90
21,2,5.720076139065592e-05,1.0,90
21,3,0.25776284267359834,0.918580375782881,479
21,4,0.31444778662904016,0.8847184986595175,373
21,5,0.5507728245950514,0.717741935483871,248
21,7,0.10005880115514106,0.9680851063829787,94
22,6,0.47009985555302014,0.7727272727272727,44
22,9,0.041831095516378855,0.9942196531791907,173
22,5,0.5272117939687544,0.7137096774193549,248
22,1,0.3708342105649703,0.8324022346368715,179
22,8,0.44860711693763733,0.8,20
23,8,0.44000744819641113,0.8,20
23,7,0.1276245890779698,0.9680851063829787,94
23,1,0.3796834985637132,0.7932960893854749,179
23,6,0.4983428174799139,0.75,44
23,0,3.0107115895299846e-07,1.0,352
24,1,0.3459177117940434,0.8435754189944135,179
24,2,2.0493082269644624e-05,1.0,90
24,8,0.34034356474876404,0.8,20
24,6,0.47171968763524835,0.7727272727272727,44
24,5,0.49155053880906874,0.7661290322580645,248
25,6,0.46261330626227637,0.8181818181818182,44
25,1,0.35871119322723516,0.8212290502793296,179
25,9,0.02203933920608995,0.9942196531791907,173
25,3,0.23383449192211375,0.9290187891440501,479
25,4,0.33768744578949567,0.8579088471849866,373
