round,client_id,train_loss,train_accuracy,num_examples
1,1,0.008206131860565832,1.0,621
1,0,0.6569645825554343,0.7058823529411765,68
1,4,0.8286209026972453,0.7166666666666667,60
1,9,0.03001954132759891,0.9964788732394366,284
1,6,0.7119234228620723,0.6870748299319728,147
2,2,0.3173726797103882,1.0,13
2,1,0.00437636439382562,1.0,621
2,8,1.5937876622783996e-05,1.0,311
2,4,0.850806200504303,0.6166666666666667,60
2,3,2.281091860235614e-05,1.0,271
3,0,0.5150368686984567,0.8382352941176471,68
3,9,0.025136160634746645,0.9964788732394366,284
3,1,0.0051170068104255005,1.0,621
3,7,0.2969690624994176,0.9236641221374046,131
3,6,0.5967199889575543,0.9183673469387755,147
4,8,1.972451908551804e-05,1.0,311
4,0,0.7504858199287864,0.6029411764705882,68
4,3,5.0750502172934414e-05,1.0,271
4,5,0.0004948148475799325,1.0,145
4,6,0.6255555710419506,0.8299319727891157,147
5,8,1.4346019980940111e-05,1.0,311
5,6,0.4013424438684165,0.9183673469387755,147
5,3,3.554964313047081e-05,1.0,271
5,7,0.2978199887594194,0.9236641221374046,131
5,4,0.7437588493029277,0.6166666666666667,60
6,4,0.5732368032137553,0.7333333333333333,60
6,0,0.28074080628507275,0.9705882352941176,68
6,2,0.2547076344490051,1.0,13
6,5,0.0001337148620474056,1.0,145
6,3,3.210503343503271e-05,1.0,271
7,5,2.392951447008868e-05,1.0,145
7,4,0.4599726061026255,0.8,60
7,2,0.012473618611693382,1.0,13
7,1,0.0018859321296315539,1.0,621
7,7,0.22160515669761724,0.9236641221374046,131
8,1,0.0016669496909254822,1.0,621
8,9,0.025977963102902745,0.9964788732394366,284
8,6,0.2551878745458564,0.9455782312925171,147
8,0,0.38070252362419577,0.8529411764705882,68
8,2,0.0022324074525386095,1.0,13
9,5,6.5268908311454335e-06,1.0,145
9,4,0.4863189419110616,0.9,60
9,0,0.3601103530210607,0.8676470588235294,68
9,9,0.03168877875577891,0.9964788732394366,284
9,3,1.7406299875600414e-06,1.0,271
10,8,1.26104206580699e-05,1.0,311
10,1,0.0014142060020667442,1.0,621
10,6,0.2927443687202168,0.9863945578231292,147
10,0,0.29505392032511096,0.9705882352941176,68
10,4,0.5211212396621704,0.9,60
11,4,0.33142993251482644,0.8833333333333333,60
11,5,1.3161432534929943e-05,1.0,145
11,3,5.568068905208797e-06,1.0,271
11,8,8.64129322163152e-06,1.0,311
11,0,0.21203778508831472,0.9705882352941176,68
12,0,0.1460945444071994,0.9705882352941176,68
12,3,5.673641216098885e-06,1.0,271
12,4,0.29623846809069315,0.85,60
12,9,0.02090522969587588,0.9964788732394366,284
12,1,0.0009450982427884391,1.0,621
13,1,0.00025268625026273655,1.0,621
13,6,0.1137930171019366,0.9727891156462585,147
13,4,0.3300359666347504,0.8666666666666667,60
13,3,2.0692245569019704e-06,1.0,271
13,5,1.0209187922586792e-05,1.0,145
14,5,3.52365425207044e-06,1.0,145
14,2,0.011604229919612408,1.0,13
14,9,0.012810300406016094,0.9964788732394366,284
14,8,5.918299434977604e-07,1.0,311
14,1,8.780466494546572e-05,1.0,621
15,4,0.3998881260553996,0.8833333333333333,60
15,1,0.00015144396578741594,1.0,621
15,2,0.0871732160449028,1.0,13
15,9,0.025044707328074574,0.9964788732394366,284
15,5,4.918807517556004e-06,1.0,145
