round,client_id,train_loss,train_accuracy,num_examples
1,1,0.001096357964410412,1.0,216
1,0,0.03869528178539541,1.0,72
1,4,0.1312623266563859,0.9796511627906976,1032
1,9,0.04684596830470995,0.9924242424242424,132
1,6,0.0004408172072259752,1.0,524
2,2,0.5278105139732361,1.0,12
2,1,0.0009896809869031939,1.0,216
2,8,0.32535701990127563,1.0,3
2,4,0.08074520646717197,0.9961240310077519,1032
2,3,0.6037052869796753,0.6842105263157895,19
3,0,0.012193909432325099,1.0,72
3,9,0.03625821433679172,0.9924242424242424,132
3,1,0.0010524504145400391,1.0,216
3,7,0.4746350944042206,1.0,31
3,6,0.0005072086710902286,1.0,524
4,8,0.039532892405986786,1.0,3
4,0,0.013055327037970224,1.0,72
4,3,0.7925817370414734,0.3684210526315789,19
4,5,1.2388781309127808,0.0,12
4,6,0.0011554899659249505,1.0,524
5,8,0.002368853660300374,1.0,3
5,6,0.0008779092578978085,1.0,524
5,3,2.1049633026123047,0.3684210526315789,19
5,7,1.5967328548431396,0.5161290322580645,31
5,4,0.03605822753883148,0.999031007751938,1032
6,4,0.028553289974960247,0.999031007751938,1032
6,0,0.00023739857715554535,1.0,72
6,2,4.425650119781494,0.0,12
6,5,4.2410969734191895,0.0,12
6,3,2.6376497745513916,0.3684210526315789,19
7,5,2.83001446723938,0.0,12
7,4,0.019812086727036986,1.0,1032
7,2,2.8801937103271484,0.0,12
7,1,0.00021216920868027955,1.0,216
7,7,1.3332161903381348,0.5161290322580645,31
8,1,0.0008843029995828316,1.0,216
8,9,0.0019514613137068932,1.0,132
8,6,0.0005164364624309943,1.0,524
8,0,0.00085069189986421,1.0,72
8,2,0.29204291105270386,1.0,12
9,5,0.014188271015882492,1.0,12
9,4,0.009700881909261378,1.0,1032
9,0,0.004485492206489046,1.0,72
9,9,0.0017488847414356176,1.0,132
9,3,0.019640661776065826,1.0,19
10,8,0.30741697549819946,1.0,3
10,1,3.7177043850533664e-05,1.0,216
10,6,2.492544983730488e-05,1.0,524
10,0,0.0008163182792486623,1.0,72
10,4,0.006470247399235188,1.0,1032
11,4,0.004090352655323439,1.0,1032
11,5,7.996873137017246e-06,1.0,12
11,3,0.24552036821842194,0.8421052631578947,19
11,8,0.7269683480262756,0.3333333333333333,3
11,0,0.0006852192519646552,1.0,72
12,0,0.0005840461752894851,1.0,72
12,3,0.13984037935733795,0.9473684210526315,19
12,4,0.002611010276726916,1.0,1032
12,9,1.1345275679835169e-05,1.0,132
12,1,1.1955145695268314e-05,1.0,216
13,1,2.0192113677492467e-05,1.0,216
13,6,4.036304628021503e-05,1.0,524
13,4,0.0016053174951749082,1.0,1032
13,3,0.029497573152184486,1.0,19
13,5,7.132611699489644e-06,1.0,12
14,5,0.0001392586127622053,1.0,12
14,2,4.156110298936255e-05,1.0,12
14,9,0.0004706297344951467,1.0,132
14,8,0.001788750640116632,1.0,3
14,1,0.0007170798090993668,1.0,216
15,4,0.001204580113231051,1.0,1032
15,1,3.475601496810904e-05,1.0,216
15,2,0.0010364443296566606,1.0,12
15,9,0.0006834289199490961,1.0,132
15,5,0.003466044319793582,1.0,12
16,3,0.0049441177397966385,1.0,19
16,2,0.004991683643311262,1.0,12
16,7,0.02129466086626053,1.0,31
16,9,0.00023979012797436746,1.0,132
16,8,2.026553147516097e-06,1.0,3
17,8,2.781549426345009e-07,1.0,3
17,3,0.006709184497594833,1.0,19
17,5,0.020361509174108505,1.0,12
17,6,3.410213934372042e-06,1.0,524
17,0,1.8378079226345613e-07,1.0,72
18,3,0.006161611992865801,1.0,19
18,0,1.1424208107908069e-07,1.0,72
18,5,0.002812570659443736,1.0,12
18,9,0.00010025891576030214,1.0,132
18,2,0.003498074598610401,1.0,12
19,1,2.6549281444574632e-06,1.0,216
19,3,0.0008536604582332075,1.0,19
19,5,0.0026543906424194574,1.0,12
19,9,0.0001035985249362773,1.0,132
19,7,0.005126252770423889,1.0,31
20,7,0.000815842766314745,1.0,31
20,6,2.196311535796931e-05,1.0,524
20,9,0.0005469081048193981,1.0,132
20,1,7.834575211202517e-06,1.0,216
20,2,3.0445147785940208e-05,1.0,12
