round,client_id,train_loss,train_accuracy,num_examples
1,1,0.0001614250658132646,1.0,105
1,0,3.7160468720755196e-06,1.0,313
1,4,0.3590918779373169,0.9130434782608695,23
1,9,0.029085398420340733,0.9967532467532467,308
1,6,0.023536915587908703,0.9975609756097561,410
2,2,0.39046841546108846,0.8721804511278195,133
2,1,8.243766441453425e-05,1.0,105
2,8,0.0003186314896919538,1.0,74
2,4,0.3485431671142578,0.9130434782608695,23
2,3,0.39905479550361633,1.0,13
3,0,3.6638696077913894e-06,1.0,313
3,9,0.028928312141139834,0.9967532467532467,308
3,1,4.4179008112959786e-05,1.0,105
3,7,0.00011748422397870635,1.0,174
3,6,0.018646447685342737,0.9975609756097561,410
4,8,0.00010700325612954141,1.0,74
4,0,3.776984728571556e-06,1.0,313
4,3,2.173146963119507,0.0,13
4,5,4.753754978582127e-05,1.0,499
4,6,0.01813815934015665,0.9975609756097561,410
5,8,8.940722319813496e-05,1.0,74
5,6,0.017938293280397973,0.9975609756097561,410
5,3,1.8327271938323975,0.0,13
5,7,5.113045130849645e-05,1.0,174
5,4,0.32506194710731506,0.9130434782608695,23
6,4,0.3281211256980896,0.9130434782608695,23
6,0,1.1452464104950078e-06,1.0,313
6,2,0.5093674520800885,0.7293233082706767,133
6,5,2.6030998486965543e-05,1.0,499
6,3,1.580312967300415,0.0,13
7,5,1.3433290600395464e-05,1.0,499
7,4,0.29793357849121094,0.9130434782608695,23
7,2,0.3650502200637545,0.9624060150375939,133
7,1,4.6884192644418884e-05,1.0,105
7,7,1.7170745974291856e-05,1.0,174
8,1,9.244191569450777e-05,1.0,105
8,9,0.03520528407610179,0.9967532467532467,308
8,6,0.021882170386521554,0.9975609756097561,410
8,0,1.7009207296793355e-06,1.0,313
8,2,0.41279295422977075,0.8646616541353384,133
9,5,5.156564638636263e-06,1.0,499
9,4,0.6054013967514038,0.9130434782608695,23
9,0,1.1231564982087109e-06,1.0,313
9,9,0.025075583643122734,0.9967532467532467,308
9,3,0.027460871264338493,1.0,13
10,8,0.0013275429169093637,1.0,74
10,1,0.00012193906233213576,1.0,105
10,6,0.023674530073895302,0.9975609756097561,410
10,0,6.546987795688231e-07,1.0,313
10,4,0.9804233908653259,0.13043478260869565,23
11,4,0.8827917575836182,0.7391304347826086,23
11,5,3.394233827859575e-06,1.0,499
11,3,0.005160187371075153,1.0,13
11,8,0.0008246569298018978,1.0,74
11,0,4.612218187918252e-07,1.0,313
12,0,3.210652440424755e-07,1.0,313
12,3,0.002854609163478017,1.0,13
12,4,0.6865559816360474,0.9130434782608695,23
12,9,0.023364694748231052,0.9967532467532467,308
12,1,4.923164220339718e-05,1.0,105
13,1,2.52730700161746e-05,1.0,105
13,6,0.028274231807349347,0.9975609756097561,410
13,4,0.42728063464164734,0.9130434782608695,23
13,3,0.005478416569530964,1.0,13
13,5,3.9358099266411195e-06,1.0,499
14,5,2.600383619257722e-06,1.0,499
14,2,0.439040460084614,0.7894736842105263,133
14,9,0.03914273587172109,0.9967532467532467,308
14,8,9.045380392234546e-05,1.0,74
14,1,1.686282219539169e-05,1.0,105
15,4,0.4891241192817688,0.9130434782608695,23
15,1,1.5344926482828757e-05,1.0,105
15,2,0.6680612344490854,0.44360902255639095,133
15,9,0.039732135679987075,0.9967532467532467,308
15,5,1.6352441688976903e-06,1.0,499
