round,test_accuracy,test_loss,sampled_clients,trainable_params,upload_mb,download_mb,cumulative_mb,trainable_param_ratio
1,0.5078740157480315,1.1910776984034561,5,19330,0.36869049072265625,0.36869049072265625,0.7373809814453125,0.04306100717757709
2,0.5078740157480315,0.8504258361388379,5,19330,0.36869049072265625,0.36869049072265625,1.474761962890625,0.04306100717757709
3,0.5078740157480315,0.9929802605486292,5,19330,0.36869049072265625,0.36869049072265625,2.2121429443359375,0.04306100717757709
4,0.5078740157480315,1.0012753375871914,5,19330,0.36869049072265625,0.36869049072265625,2.94952392578125,0.04306100717757709
5,0.6358267716535433,0.6601413535320853,5,19330,0.36869049072265625,0.36869049072265625,3.6869049072265625,0.04306100717757709
6,0.4921259842519685,0.7475331721343393,5,19330,0.36869049072265625,0.36869049072265625,4.424285888671875,0.04306100717757709
7,0.4921259842519685,0.9048514347376786,5,19330,0.36869049072265625,0.36869049072265625,5.1616668701171875,0.04306100717757709
8,0.65748031496063,0.6177107001852802,5,19330,0.36869049072265625,0.36869049072265625,5.8990478515625,0.04306100717757709
9,0.5078740157480315,0.9729818575025544,5,19330,0.36869049072265625,0.36869049072265625,6.6364288330078125,0.04306100717757709
10,0.5078740157480315,2.1468290925964597,5,19330,0.36869049072265625,0.36869049072265625,7.373809814453125,0.04306100717757709
11,0.5078740157480315,3.1211723061058465,5,19330,0.36869049072265625,0.36869049072265625,8.111190795898438,0.04306100717757709
12,0.5078740157480315,3.6293286770347537,5,19330,0.36869049072265625,0.36869049072265625,8.84857177734375,0.04306100717757709
13,0.5078740157480315,3.229591232585156,5,19330,0.36869049072265625,0.36869049072265625,9.585952758789062,0.04306100717757709
14,0.5078740157480315,2.5756925119189766,5,19330,0.36869049072265625,0.36869049072265625,10.323333740234375,0.04306100717757709
15,0.5078740157480315,1.7968149372911828,5,19330,0.36869049072265625,0.36869049072265625,11.060714721679688,0.04306100717757709
16,0.5216535433070866,0.9886782366459764,5,19330,0.36869049072265625,0.36869049072265625,11.798095703125,0.04306100717757709
17,0.655511811023622,0.6074092122982806,5,19330,0.36869049072265625,0.36869049072265625,12.535476684570312,0.04306100717757709
18,0.6889763779527559,0.5464629605999143,5,19330,0.36869049072265625,0.36869049072265625,13.272857666015625,0.04306100717757709
19,0.7224409448818898,0.496200489716267,5,19330,0.36869049072265625,0.36869049072265625,14.010238647460938,0.04306100717757709
20,0.7066929133858267,0.506270451573875,5,19330,0.36869049072265625,0.36869049072265625,14.74761962890625,0.04306100717757709
21,0.7440944881889764,0.4847013746190259,5,19330,0.36869049072265625,0.36869049072265625,15.485000610351562,0.04306100717757709
22,0.75,0.48785765856269775,5,19330,0.36869049072265625,0.36869049072265625,16.222381591796875,0.04306100717757709
23,0.655511811023622,0.665499030135748,5,19330,0.36869049072265625,0.36869049072265625,16.959762573242188,0.04306100717757709
24,0.594488188976378,0.931628146040158,5,19330,0.36869049072265625,0.36869049072265625,17.6971435546875,0.04306100717757709
25,0.5669291338582677,1.0390071268156758,5,19330,0.36869049072265625,0.36869049072265625,18.434524536132812,0.04306100717757709
