round,test_accuracy,test_loss,sampled_clients,trainable_params,upload_mb,download_mb,cumulative_mb,trainable_param_ratio
1,0.5069033530571992,0.6459154352633911,5,19330,0.36869049072265625,0.36869049072265625,0.7373809814453125,0.02056028641872358
2,0.5522682445759369,0.5447701730671719,5,19330,0.36869049072265625,0.36869049072265625,1.474761962890625,0.02056028641872358
3,0.5069033530571992,0.9129921306049565,5,19330,0.36869049072265625,0.36869049072265625,2.2121429443359375,0.02056028641872358
4,0.5069033530571992,2.06640805600898,5,19330,0.36869049072265625,0.36869049072265625,2.94952392578125,0.02056028641872358
5,0.5069033530571992,2.577641362504376,5,19330,0.36869049072265625,0.36869049072265625,3.6869049072265625,0.02056028641872358
6,0.5069033530571992,1.8938679276603683,5,19330,0.36869049072265625,0.36869049072265625,4.424285888671875,0.02056028641872358
7,0.7633136094674556,0.39425862003007583,5,19330,0.36869049072265625,0.36869049072265625,5.1616668701171875,0.02056028641872358
8,1.0,0.01853566757298609,5,19330,0.36869049072265625,0.36869049072265625,5.8990478515625,0.02056028641872358
9,0.9349112426035503,0.14483835117586502,5,19330,0.36869049072265625,0.36869049072265625,6.6364288330078125,0.02056028641872358
10,0.8560157790927022,0.2935480094520298,5,19330,0.36869049072265625,0.36869049072265625,7.373809814453125,0.02056028641872358
11,0.9151873767258383,0.2136928254565779,5,19330,0.36869049072265625,0.36869049072265625,8.111190795898438,0.02056028641872358
12,0.9822485207100592,0.04484643657091101,5,19330,0.36869049072265625,0.36869049072265625,8.84857177734375,0.02056028641872358
13,1.0,0.0017030152944109496,5,19330,0.36869049072265625,0.36869049072265625,9.585952758789062,0.02056028641872358
14,0.9960552268244576,0.008805384608702017,5,19330,0.36869049072265625,0.36869049072265625,10.323333740234375,0.02056028641872358
15,0.9881656804733728,0.037473608017761326,5,19330,0.36869049072265625,0.36869049072265625,11.060714721679688,0.02056028641872358
16,0.9901380670611439,0.034122911520684376,5,19330,0.36869049072265625,0.36869049072265625,11.798095703125,0.02056028641872358
17,0.9921104536489151,0.031223581297437,5,19330,0.36869049072265625,0.36869049072265625,12.535476684570312,0.02056028641872358
18,0.9960552268244576,0.010057085580826247,5,19330,0.36869049072265625,0.36869049072265625,13.272857666015625,0.02056028641872358
19,1.0,0.001536653052467377,5,19330,0.36869049072265625,0.36869049072265625,14.010238647460938,0.02056028641872358
20,1.0,0.00021143393458787507,5,19330,0.36869049072265625,0.36869049072265625,14.74761962890625,0.02056028641872358
